Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT2ejclJp2cUUgqOgFOVXKws,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-26 00:00:00
NXT4Dwjy23XK7Z9Sz5JiDlxhQ,Interest,NEXO,0.70160486,NEXO,0.70160486,$0.64,-,-,"approved / NEXO Interest Earned",2025-12-25 06:00:00
NXT39zv5zXqHRNQql1Mz3tXT8,Interest,NEXO,4.33136762,NEXO,4.33136762,$3.94,-,-,"approved / 2.114082 XRP",2025-12-25 06:00:00
NXT6axJRX1JZLce5MTAWEezzT,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-25 00:00:00
NXT6OxDL6RRhaqk1wnriaZq8x,Interest,NEXO,0.70120437,NEXO,0.70120437,$0.65,-,-,"approved / NEXO Interest Earned",2025-12-24 06:00:00
NXT59QOHpOl6OJIc0O1R91Js0,Interest,NEXO,4.24394686,NEXO,4.24394686,$3.96,-,-,"approved / 2.114082 XRP",2025-12-24 06:00:00
NXT74g3p6lZwnhZdqWNLsra7Q,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-24 00:00:00
NXT65RfbPZ7NgV7zWEQ95kWuv,Interest,NEXO,4.34500629,NEXO,4.34500629,$4.02,-,-,"approved / 2.114082 XRP",2025-12-23 06:00:00
NXT4QZDGsTguBufSzlPDpDdfb,Interest,NEXO,0.70079573,NEXO,0.70079573,$0.65,-,-,"approved / NEXO Interest Earned",2025-12-23 06:00:00
NXT4OuUe4ZgLJrKrfBSxxHU8X,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-23 00:00:00
NXT31bll6OFy3NbUaFKieNtvg,Interest,NEXO,0.70038484,NEXO,0.70038484,$0.65,-,-,"approved / NEXO Interest Earned",2025-12-22 06:00:00
NXTt0lODWbCCFE4L2jTLfnXV,Interest,NEXO,4.37325504,NEXO,4.37325504,$4.06,-,-,"approved / 2.114082 XRP",2025-12-22 06:00:00
NXT79xotgcrVbE62xxZY1h9av,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-22 00:00:00
NXT3WGWprAtzoo4mcIkvPdWUu,Interest,NEXO,4.40851911,NEXO,4.40851911,$4.09,-,-,"approved / 2.114082 XRP",2025-12-21 06:00:00
NXT2tajqjr11BIlWOzclqgIhB,Interest,NEXO,0.69997112,NEXO,0.69997112,$0.65,-,-,"approved / NEXO Interest Earned",2025-12-21 06:00:00
